Series ID,Year,Period,Label,Value
CUSR0000SA0,1979,M05,1979 May,71.4
CUSR0000SA0,1979,M06,1979 Jun,72.2
CUSR0000SA0,1979,M07,1979 Jul,73
CUSR0000SA0,1979,M08,1979 Aug,73.7
CUSR0000SA0,1979,M09,1979 Sep,74.4
CUSR0000SA0,1979,M10,1979 Oct,75.2
CUSR0000SA0,1979,M11,1979 Nov,76
CUSR0000SA0,1979,M12,1979 Dec,76.9
CUSR0000SA0,1980,M01,1980 Jan,78
CUSR0000SA0,1980,M02,1980 Feb,79
CUSR0000SA0,1980,M03,1980 Mar,80.1
CUSR0000SA0,1980,M04,1980 Apr,80.9
CUSR0000SA0,1980,M05,1980 May,81.7
CUSR0000SA0,1980,M06,1980 Jun,82.5
CUSR0000SA0,1980,M07,1980 Jul,82.6
CUSR0000SA0,1980,M08,1980 Aug,83.2
CUSR0000SA0,1980,M09,1980 Sep,83.9
CUSR0000SA0,1980,M10,1980 Oct,84.7
CUSR0000SA0,1980,M11,1980 Nov,85.6
CUSR0000SA0,1980,M12,1980 Dec,86.4
CUSR0000SA0,1981,M01,1981 Jan,87.2
CUSR0000SA0,1981,M02,1981 Feb,88
CUSR0000SA0,1981,M03,1981 Mar,88.6
CUSR0000SA0,1981,M04,1981 Apr,89.1
CUSR0000SA0,1981,M05,1981 May,89.7
CUSR0000SA0,1981,M06,1981 Jun,90.5
CUSR0000SA0,1981,M07,1981 Jul,91.5
CUSR0000SA0,1981,M08,1981 Aug,92.2
CUSR0000SA0,1981,M09,1981 Sep,93.1
CUSR0000SA0,1981,M10,1981 Oct,93.4
CUSR0000SA0,1981,M11,1981 Nov,93.8
CUSR0000SA0,1981,M12,1981 Dec,94.1
CUSR0000SA0,1982,M01,1982 Jan,94.4
CUSR0000SA0,1982,M02,1982 Feb,94.7
CUSR0000SA0,1982,M03,1982 Mar,94.7
CUSR0000SA0,1982,M04,1982 Apr,95
CUSR0000SA0,1982,M05,1982 May,95.9
CUSR0000SA0,1982,M06,1982 Jun,97
CUSR0000SA0,1982,M07,1982 Jul,97.5
CUSR0000SA0,1982,M08,1982 Aug,97.7
CUSR0000SA0,1982,M09,1982 Sep,97.7
CUSR0000SA0,1982,M10,1982 Oct,98.1
CUSR0000SA0,1982,M11,1982 Nov,98
CUSR0000SA0,1982,M12,1982 Dec,97.7
CUSR0000SA0,1983,M01,1983 Jan,97.9
CUSR0000SA0,1983,M02,1983 Feb,98
CUSR0000SA0,1983,M03,1983 Mar,98.1
CUSR0000SA0,1983,M04,1983 Apr,98.8
CUSR0000SA0,1983,M05,1983 May,99.2
CUSR0000SA0,1983,M06,1983 Jun,99.4
CUSR0000SA0,1983,M07,1983 Jul,99.8
CUSR0000SA0,1983,M08,1983 Aug,100.1
CUSR0000SA0,1983,M09,1983 Sep,100.4
CUSR0000SA0,1983,M10,1983 Oct,100.8
CUSR0000SA0,1983,M11,1983 Nov,101.1
CUSR0000SA0,1983,M12,1983 Dec,101.4
CUSR0000SA0,1984,M01,1984 Jan,102.1
CUSR0000SA0,1984,M02,1984 Feb,102.6
CUSR0000SA0,1984,M03,1984 Mar,102.9
CUSR0000SA0,1984,M04,1984 Apr,103.3
CUSR0000SA0,1984,M05,1984 May,103.5
CUSR0000SA0,1984,M06,1984 Jun,103.7
CUSR0000SA0,1984,M07,1984 Jul,104.1
CUSR0000SA0,1984,M08,1984 Aug,104.4
CUSR0000SA0,1984,M09,1984 Sep,104.7
CUSR0000SA0,1984,M10,1984 Oct,105.1
CUSR0000SA0,1984,M11,1984 Nov,105.3
CUSR0000SA0,1984,M12,1984 Dec,105.5
CUSR0000SA0,1985,M01,1985 Jan,105.7
CUSR0000SA0,1985,M02,1985 Feb,106.3
CUSR0000SA0,1985,M03,1985 Mar,106.8
CUSR0000SA0,1985,M04,1985 Apr,107
CUSR0000SA0,1985,M05,1985 May,107.2
CUSR0000SA0,1985,M06,1985 Jun,107.5
CUSR0000SA0,1985,M07,1985 Jul,107.7
CUSR0000SA0,1985,M08,1985 Aug,107.9
CUSR0000SA0,1985,M09,1985 Sep,108.1
CUSR0000SA0,1985,M10,1985 Oct,108.5
CUSR0000SA0,1985,M11,1985 Nov,109
CUSR0000SA0,1985,M12,1985 Dec,109.5
CUSR0000SA0,1986,M01,1986 Jan,109.9
CUSR0000SA0,1986,M02,1986 Feb,109.7
CUSR0000SA0,1986,M03,1986 Mar,109.1
CUSR0000SA0,1986,M04,1986 Apr,108.7
CUSR0000SA0,1986,M05,1986 May,109
CUSR0000SA0,1986,M06,1986 Jun,109.4
CUSR0000SA0,1986,M07,1986 Jul,109.5
CUSR0000SA0,1986,M08,1986 Aug,109.6
CUSR0000SA0,1986,M09,1986 Sep,110
CUSR0000SA0,1986,M10,1986 Oct,110.2
CUSR0000SA0,1986,M11,1986 Nov,110.4
CUSR0000SA0,1986,M12,1986 Dec,110.8
CUSR0000SA0,1987,M01,1987 Jan,111.4
CUSR0000SA0,1987,M02,1987 Feb,111.8
CUSR0000SA0,1987,M03,1987 Mar,112.2
CUSR0000SA0,1987,M04,1987 Apr,112.7
CUSR0000SA0,1987,M05,1987 May,113
CUSR0000SA0,1987,M06,1987 Jun,113.5
CUSR0000SA0,1987,M07,1987 Jul,113.8
CUSR0000SA0,1987,M08,1987 Aug,114.3
CUSR0000SA0,1987,M09,1987 Sep,114.7
CUSR0000SA0,1987,M10,1987 Oct,115
CUSR0000SA0,1987,M11,1987 Nov,115.4
CUSR0000SA0,1987,M12,1987 Dec,115.6
CUSR0000SA0,1988,M01,1988 Jan,116
CUSR0000SA0,1988,M02,1988 Feb,116.2
CUSR0000SA0,1988,M03,1988 Mar,116.5
CUSR0000SA0,1988,M04,1988 Apr,117.2
CUSR0000SA0,1988,M05,1988 May,117.5
CUSR0000SA0,1988,M06,1988 Jun,118
CUSR0000SA0,1988,M07,1988 Jul,118.5
CUSR0000SA0,1988,M08,1988 Aug,119
CUSR0000SA0,1988,M09,1988 Sep,119.5
CUSR0000SA0,1988,M10,1988 Oct,119.9
CUSR0000SA0,1988,M11,1988 Nov,120.3
CUSR0000SA0,1988,M12,1988 Dec,120.7
CUSR0000SA0,1989,M01,1989 Jan,121.2
CUSR0000SA0,1989,M02,1989 Feb,121.6
CUSR0000SA0,1989,M03,1989 Mar,122.2
CUSR0000SA0,1989,M04,1989 Apr,123.1
CUSR0000SA0,1989,M05,1989 May,123.7
CUSR0000SA0,1989,M06,1989 Jun,124.1
CUSR0000SA0,1989,M07,1989 Jul,124.5
CUSR0000SA0,1989,M08,1989 Aug,124.5
CUSR0000SA0,1989,M09,1989 Sep,124.8
CUSR0000SA0,1989,M10,1989 Oct,125.4
CUSR0000SA0,1989,M11,1989 Nov,125.9
CUSR0000SA0,1989,M12,1989 Dec,126.3
CUSR0000SA0,1990,M01,1990 Jan,127.5
CUSR0000SA0,1990,M02,1990 Feb,128
CUSR0000SA0,1990,M03,1990 Mar,128.6
CUSR0000SA0,1990,M04,1990 Apr,128.9
CUSR0000SA0,1990,M05,1990 May,129.1
CUSR0000SA0,1990,M06,1990 Jun,129.9
CUSR0000SA0,1990,M07,1990 Jul,130.5
CUSR0000SA0,1990,M08,1990 Aug,131.6
CUSR0000SA0,1990,M09,1990 Sep,132.5
CUSR0000SA0,1990,M10,1990 Oct,133.4
CUSR0000SA0,1990,M11,1990 Nov,133.7
CUSR0000SA0,1990,M12,1990 Dec,134.2
CUSR0000SA0,1991,M01,1991 Jan,134.7
CUSR0000SA0,1991,M02,1991 Feb,134.8
CUSR0000SA0,1991,M03,1991 Mar,134.8
CUSR0000SA0,1991,M04,1991 Apr,135.1
CUSR0000SA0,1991,M05,1991 May,135.6
CUSR0000SA0,1991,M06,1991 Jun,136
CUSR0000SA0,1991,M07,1991 Jul,136.2
CUSR0000SA0,1991,M08,1991 Aug,136.6
CUSR0000SA0,1991,M09,1991 Sep,137
CUSR0000SA0,1991,M10,1991 Oct,137.2
CUSR0000SA0,1991,M11,1991 Nov,137.8
CUSR0000SA0,1991,M12,1991 Dec,138.2
CUSR0000SA0,1992,M01,1992 Jan,138.3
CUSR0000SA0,1992,M02,1992 Feb,138.6
CUSR0000SA0,1992,M03,1992 Mar,139.1
CUSR0000SA0,1992,M04,1992 Apr,139.4
CUSR0000SA0,1992,M05,1992 May,139.7
CUSR0000SA0,1992,M06,1992 Jun,140.1
CUSR0000SA0,1992,M07,1992 Jul,140.5
CUSR0000SA0,1992,M08,1992 Aug,140.8
CUSR0000SA0,1992,M09,1992 Sep,141.1
CUSR0000SA0,1992,M10,1992 Oct,141.7
CUSR0000SA0,1992,M11,1992 Nov,142.1
CUSR0000SA0,1992,M12,1992 Dec,142.3
CUSR0000SA0,1993,M01,1993 Jan,142.8
CUSR0000SA0,1993,M02,1993 Feb,143.1
CUSR0000SA0,1993,M03,1993 Mar,143.3
CUSR0000SA0,1993,M04,1993 Apr,143.8
CUSR0000SA0,1993,M05,1993 May,144.2
CUSR0000SA0,1993,M06,1993 Jun,144.3
CUSR0000SA0,1993,M07,1993 Jul,144.5
CUSR0000SA0,1993,M08,1993 Aug,144.8
CUSR0000SA0,1993,M09,1993 Sep,145
CUSR0000SA0,1993,M10,1993 Oct,145.6
CUSR0000SA0,1993,M11,1993 Nov,146
CUSR0000SA0,1993,M12,1993 Dec,146.3
CUSR0000SA0,1994,M01,1994 Jan,146.3
CUSR0000SA0,1994,M02,1994 Feb,146.7
CUSR0000SA0,1994,M03,1994 Mar,147.1
CUSR0000SA0,1994,M04,1994 Apr,147.2
CUSR0000SA0,1994,M05,1994 May,147.5
CUSR0000SA0,1994,M06,1994 Jun,147.9
CUSR0000SA0,1994,M07,1994 Jul,148.4
CUSR0000SA0,1994,M08,1994 Aug,149
CUSR0000SA0,1994,M09,1994 Sep,149.3
CUSR0000SA0,1994,M10,1994 Oct,149.4
CUSR0000SA0,1994,M11,1994 Nov,149.8
CUSR0000SA0,1994,M12,1994 Dec,150.1
CUSR0000SA0,1995,M01,1995 Jan,150.5
CUSR0000SA0,1995,M02,1995 Feb,150.9
CUSR0000SA0,1995,M03,1995 Mar,151.2
CUSR0000SA0,1995,M04,1995 Apr,151.8
CUSR0000SA0,1995,M05,1995 May,152.1
CUSR0000SA0,1995,M06,1995 Jun,152.4
CUSR0000SA0,1995,M07,1995 Jul,152.6
CUSR0000SA0,1995,M08,1995 Aug,152.9
CUSR0000SA0,1995,M09,1995 Sep,153.1
CUSR0000SA0,1995,M10,1995 Oct,153.5
CUSR0000SA0,1995,M11,1995 Nov,153.7
CUSR0000SA0,1995,M12,1995 Dec,153.9
CUSR0000SA0,1996,M01,1996 Jan,154.7
CUSR0000SA0,1996,M02,1996 Feb,155
CUSR0000SA0,1996,M03,1996 Mar,155.5
CUSR0000SA0,1996,M04,1996 Apr,156.1
CUSR0000SA0,1996,M05,1996 May,156.4
CUSR0000SA0,1996,M06,1996 Jun,156.7
CUSR0000SA0,1996,M07,1996 Jul,157
CUSR0000SA0,1996,M08,1996 Aug,157.2
CUSR0000SA0,1996,M09,1996 Sep,157.7
CUSR0000SA0,1996,M10,1996 Oct,158.2
CUSR0000SA0,1996,M11,1996 Nov,158.7
CUSR0000SA0,1996,M12,1996 Dec,159.1
CUSR0000SA0,1997,M01,1997 Jan,159.4
CUSR0000SA0,1997,M02,1997 Feb,159.7
CUSR0000SA0,1997,M03,1997 Mar,159.8
CUSR0000SA0,1997,M04,1997 Apr,159.9
CUSR0000SA0,1997,M05,1997 May,159.9
CUSR0000SA0,1997,M06,1997 Jun,160.2
CUSR0000SA0,1997,M07,1997 Jul,160.4
CUSR0000SA0,1997,M08,1997 Aug,160.8
CUSR0000SA0,1997,M09,1997 Sep,161.2
CUSR0000SA0,1997,M10,1997 Oct,161.5
CUSR0000SA0,1997,M11,1997 Nov,161.7
CUSR0000SA0,1997,M12,1997 Dec,161.8
CUSR0000SA0,1998,M01,1998 Jan,162
CUSR0000SA0,1998,M02,1998 Feb,162
CUSR0000SA0,1998,M03,1998 Mar,162
CUSR0000SA0,1998,M04,1998 Apr,162.2
